,Latent Variable,,,,,,
,,,,,,,
,,,,,,,
,Latent Variable,,,,,,
,,,,,,,
,Case ID,Attitude Toward Local Brand (ATLB),Consumer Ethnocentrism (CET),Gov. Buy Local Campaign Effectiveness  (PBLCE),Local Fashion Brand Love (LFBL),Perceived Price Fairness (PPF),Perceived Product Quality (PPQ)
,145,0.670073885522236,0.978380676593854,0.713442002704562,-0.144628441883548,1.61674651229944,1.2226438136561
,146,0.696899711055166,-1.71186744875805,0.757599337036011,-0.984229263815477,-1.52646040525809,-2.79814521125327
,147,0.937109957061192,-0.655924865202348,1.0295667207142,1.00427294588862,-0.242942293139739,0.94050461952287
,148,0.711799323718034,0.9050661639591,0.786260807662753,1.29952508688449,1.0610245783266,0.756154867866935
,149,0.16854877692239,0.108974562100149,0.398522217502637,0.445875840108187,0.0451430535206738,0.99759779827977
,150,0.696899711055166,0.398156041220398,0.45708286907224,0.15062369911232,0.333228400181086,0.980638602788395
,151,0.950911624300558,-1.71186744875805,0.45708286907224,1.29952508688449,-1.52646040525809,0.45438158058509
,152,0.685457277350356,0.745758189232789,0.713442002704562,1.00427294588862,1.26472613396543,0.94050461952287
,153,0.476805877411002,-0.842461334264346,0.68478053207782,0.730450843684998,0.0451430535206738,0.183662547578678
,154,0.65657202467968,1.20001507056272,0.0837148186418712,-0.123198403091304,1.3460606681269,1.54461501871336
,155,0.950911624300558,-1.2361495005758,0.772002654274166,-0.106135348347485,-1.52646040525809,-1.77028213396117
,156,0.182650250558566,1.22147613741504,0.427216465637786,-0.123198403091304,1.26472613396543,-0.112833557623906
,157,0.71385875085578,-0.641031021459735,0.126699997674016,-0.4110689301393,-0.330632746290829,-0.112833557623906
,158,1.21430654411301,0.65800702291715,0.45708286907224,-1.26277259586404,0.600864987493511,0.99759779827977
,159,0.420002930400155,1.4540986247761,0.156566401108469,-0.123198403091304,1.61674651229944,0.194780736363996
,160,0.421578578372648,0.491674635019404,1.04385765161119,1.01165455983649,0.994040289792886,-0.112833557623906
,161,-0.6525806623234,-0.641031021459735,-0.804860973501317,1.2522246730268,-0.330632746290829,0.423065474024361
,162,1.50658671659615,0.978380676593854,1.07251912223794,-0.680169802497984,1.61674651229944,1.2226438136561
,163,-0.346682795369344,-1.2361495005758,0.45708286907224,-0.379957450551109,-1.52646040525809,0.929386430737551
,164,0.405901456763978,-0.366743386082099,0.713442002704562,0.747513898428816,0.0451430535206738,0.915029519668198
,165,-0.109629921924566,0.978380676593854,1.33008318867797,0.138520855319509,1.61674651229944,-1.15505354598536
,166,0.962653864402178,0.978380676593854,0.126699997674016,0.15062369911232,1.61674651229944,0.430382660070774
,167,1.50658671659615,1.16491714565585,1.33008318867797,-0.123198403091304,1.32866116563902,0.451142858301055
,168,-0.109629921924566,-0.366743386082099,-0.159558316901167,-0.123198403091304,0.0451430535206738,1.23700072472545
,169,0.726882909149344,-0.418596831864534,0.48577711720739,1.29952508688449,-0.591913414613634,0.632890325534968
,170,-0.109629921924566,0.161627803508922,-0.159558316901167,1.29952508688449,0.691604697504716,-1.46266783997326
,171,0.696899711055166,-0.895114575673119,0.713442002704562,0.197924112970008,-0.601318590463368,-2.81250212232262
,172,1.50658671659615,-1.71186744875805,-0.159558316901167,-0.144628441883548,-1.52646040525809,0.607415225680296
,173,0.700057083616414,1.20001507056272,0.45708286907224,1.29952508688449,1.3460606681269,1.2882528967763
,174,0.1688485833192,0.394250290869988,0.126667220165608,0.15062369911232,1.04362507583873,-0.858557440782779
,175,0.126141033328268,0.9050661639591,0.427183688129379,1.29952508688449,1.0610245783266,0.194780736363996
,176,-0.109629921924566,-0.0775619069618494,-0.159558316901167,0.733746367156183,0.333228400181086,-0.69116688461822
,177,0.738325342854154,-1.45778389454467,0.48577711720739,-0.123198403091304,-1.25577456108555,0.689983504291868
,178,-0.135672161895434,1.4540986247761,1.33008318867797,0.669102004982937,1.61674651229944,0.726878765273358
,179,-0.346682795369344,0.704093041216217,-0.159558316901167,-0.123198403091304,1.24097071248793,0.43418366280968
,180,1.50658671659615,-1.2361495005758,1.33008318867797,-0.111095559298493,-1.52646040525809,0.929386430737551
,181,-0.123636192013264,-0.165313073277488,0.0681065685960049,-0.111095559298493,-0.330632746290829,0.505633752635934
,182,-0.109629921924566,-0.366743386082099,-0.159558316901167,0.164672123956692,0.0451430535206738,-1.46266783997326
,183,-2.54697599969107,-0.842461334264346,-1.34868335451653,-0.123198403091304,0.0451430535206738,-0.112833557623906
,184,-0.917141666699432,1.4540986247761,-1.45016363010147,-1.01038053245266,1.61674651229944,0.690545784746738
,185,1.50658671659615,-0.961861865198167,1.33008318867797,-1.81974399527072,-1.15068460544659,0.198019458648032
,186,-1.40486510805991,-0.0191412380697081,0.78629358517116,-1.88109283397278,0.976640787305013,-0.112833557623906
,187,0.421284848592099,1.4540986247761,0.757632114544418,-1.5459218930671,1.61674651229944,-0.12719046869326
,188,0.419703124003344,0.108974562100149,0.68478053207782,-1.5459218930671,0.0451430535206738,0.122768366082872
,189,1.50658671659615,-0.434290471233484,-0.732009391034719,1.02570298468087,-0.513628137312278,-1.70207076641895
,190,0.726882909149344,0.9050661639591,0.743341183647423,1.0237574036293,1.0610245783266,1.54461501871336
,191,1.50658671659615,0.108974562100149,0.757632114544418,0.45964337138082,0.0451430535206738,0.122768366082872
,192,-0.346682795369344,0.217386999641768,-0.159558316901167,-0.672788188550112,0.618264489981384,-0.88433451297895
,193,0.154248777053143,0.630778528581464,0.112296680435861,0.164672123956692,0.685248778515096,1.01251698980399
,194,-0.109629921924566,0.978380676593854,-2.5378083921319,-0.946610290753736,1.61674651229944,-0.0446221900816872
,195,-1.19463806014806,-0.366743386082099,-0.804860973501317,-1.27209979086347,0.0451430535206738,-0.409329662826489
,196,-0.109629921924566,-0.599365873443164,-1.89247295802334,1.29952508688449,-0.306877324813336,-1.77028213396117
,197,-0.0814124211875842,1.15914971817248,1.04385765161119,0.416709941571557,1.33171042249914,0.669785586516457
,198,1.50658671659615,0.947188502037399,0.384231286605642,1.57334718908811,0.888950334153923,-0.112833557623906
,199,-0.109629921924566,0.450009487002833,-0.445816631476351,-0.123198403091304,0.970284868315394,1.54461501871336
,200,-0.890615647563311,-0.366743386082099,-0.145267386004173,0.456628741481374,0.0451430535206738,-0.112833557623906
,201,-0.12235427382132,1.4540986247761,1.04385765161119,0.481073410173064,1.61674651229944,-2.50488782833472
,202,-1.16781223461513,-0.0924557507044618,-0.159558316901167,0.172053737904564,0.420918853332176,0.419264471285456
,203,-1.47547579892639,-0.0924557507044618,-0.98960623498316,0.15062369911232,0.420918853332176,-0.112833557623906
,204,-0.413352528112508,0.683431769990237,-3.13884132805944,1.29952508688449,1.33171042249914,0.75235386512803
,205,0.69818162924711,-0.460261979881105,1.33008318867797,-0.65873976370574,-0.615668836091126,1.23700072472545
,206,-0.902058081268121,-0.366743386082099,-0.218118968470771,-0.418450544087171,0.0451430535206738,-0.987662989820804
,207,0.69877516542447,0.108974562100149,1.33008318867797,0.15062369911232,0.0451430535206738,0.122768366082872
,208,1.50658671659615,-0.165313073277488,1.33008318867797,-0.4110689301393,-0.330632746290829,-0.352236484069589
,209,1.50658671659615,0.890629510278215,1.33008318867797,-0.123198403091304,0.952885365827521,-0.0408211873427814
,210,-0.665305014220154,-0.412829404381166,1.04385765161119,-0.123198403091304,-0.594962671473749,0.689983504291868
,211,0.155824425025636,0.341597049461214,0.757632114544418,0.781046781013872,0.397163431854684,1.54461501871336
,212,-0.109629921924566,-0.123647925260916,-0.159558316901167,-0.96804032954598,-0.306877324813336,0.437422385093715
,213,-0.109629921924566,-0.0924557507044618,-0.159558316901167,0.716402418840625,0.420918853332176,0.20913764743335
,214,1.50658671659615,-1.2361495005758,-3.06733984225012,0.471746215173631,-1.52646040525809,-0.420447851611808
,215,-0.401910094407698,-0.0775619069618494,-0.159558316901167,1.57334718908811,0.333228400181086,-0.195401836235478
,216,-0.653562774118534,0.456576710112539,-1.63490889158331,1.29952508688449,0.976640787305013,-0.112833557623906
,217,0.167566665127256,0.429348215776853,-1.6491998224803,-1.5459218930671,1.0610245783266,1.54461501871336
,218,0.167866471524067,0.491674635019404,-0.732042168543126,-0.384917661502116,0.994040289792886,1.23700072472545
,219,-1.16781223461513,0.176521647251535,-0.504377283045954,0.438494226160316,0.603914244353626,-0.112833557623906
,220,-2.24137793913382,0.502662728411606,-0.159558316901167,0.763983726270053,1.61674651229944,0.194780736363996
,221,-1.19415428098281,-0.434290471233484,-1.8236768443814,-0.0880008330264268,-0.513628137312278,0.761995874572992
,222,-0.109629921924566,0.108974562100149,0.398522217502637,0.978402570823177,0.0451430535206738,0.67942759596142
,223,-0.387808620771522,0.108974562100149,1.04385765161119,1.02133600063244,0.0451430535206738,-0.112833557623906
,224,1.24113236964594,1.20001507056272,1.33008318867797,-1.27209979086347,1.3460606681269,0.194780736363996
,225,-1.19463806014806,0.270040241050541,-0.159558316901167,0.730450843684998,1.26472613396543,-2.81250212232262
,226,-0.917441473096242,-0.66691295859455,0.500035270595977,-0.397020505294927,-0.865648515646289,-0.420447851611808
,227,1.50658671659615,1.4540986247761,1.33008318867797,1.29952508688449,1.61674651229944,-0.898691424048304
,228,1.50658671659615,0.108974562100149,1.33008318867797,1.29952508688449,0.0451430535206738,0.675626593222514
,229,0.127722757917022,0.108974562100149,0.0394778754776701,1.02871761458031,0.0451430535206738,-0.112833557623906
,230,0.975078409902122,0.978380676593854,-0.746267544423306,-0.672788188550112,1.61674651229944,0.137687557607096
,231,0.459846837610388,-0.366743386082099,-0.518635436434541,1.57334718908811,0.0451430535206738,1.00139880101868
,232,-0.930759361170356,-0.335551211525644,-0.776199502874575,-0.111095559298493,0.772939231666186,0.194780736363996
,233,-0.623879382421166,0.217386999641768,1.33008318867797,0.138520855319509,0.618264489981384,0.122768366082872
,234,-0.638962967852476,-1.71186744875805,-1.34868335451653,1.2522246730268,-1.52646040525809,-0.420447851611808
,235,-0.427952334378566,-1.4116978762456,-1.63490889158331,-0.137246827935676,-0.615668836091126,1.00139880101868
,236,-0.902357887664932,-0.687117039758802,-0.689089767019389,-0.96804032954598,-0.970738471285251,-0.716943956814391
,237,-0.399550860873142,-1.2361495005758,1.04385765161119,-1.81974399527072,-1.52646040525809,-0.123951746409224
,238,1.50658671659615,0.108974562100149,1.33008318867797,0.15062369911232,0.0451430535206738,-0.69116688461822
,239,-1.72584656044528,0.383262197477786,0.427216465637786,-2.96864538304289,0.420918853332176,-1.75916394517585
,240,-0.945842946601666,-0.366743386082099,-0.159558316901167,-0.979862279767052,0.0451430535206738,-1.16617173477068
,241,-0.890915453960122,-2.1875853969403,-0.445783853967943,-0.65873976370574,-1.52646040525809,0.0753171967709341
,242,-0.846830782229767,0.108974562100149,0.757632114544418,0.133560644368501,0.0451430535206738,-0.112833557623906
,243,-0.623879382421166,-0.749443459001354,0.500035270595977,-0.667827977599105,-0.903754182751539,-1.46266783997326
,244,1.50658671659615,0.65800702291715,-0.445751076459536,0.164672123956692,0.600864987493511,-1.46266783997326
,245,-0.109629921924566,0.394250290869988,-0.445783853967943,1.57334718908811,1.04362507583873,0.773114063358311
,246,-1.97562378578681,-1.11674896964198,-0.445783853967943,-0.974902068816044,-0.330632746290829,1.00139880101868
,247,-0.750699484121129,1.15914971817248,-0.504344505537547,0.172053737904564,1.33171042249914,0.194780736363996
,248,-4.9582798374867,-2.88493773909141,-4.62848283363858,1.29952508688449,-1.25577456108555,-0.449723954205386
,249,1.50658671659615,0.693104947824015,-0.330012647486015,-0.397020505294927,0.618264489981384,1.23700072472545
,250,-0.930759361170356,-0.185974344503468,0.398522217502637,0.164672123956692,-0.239893036279624,-1.46266783997326
,251,1.50658671659615,-0.123647925260916,-1.34868335451653,0.185821269177197,-0.306877324813336,0.689983504291868
,252,-1.40280568092217,-0.366743386082099,0.199518802632207,-0.123198403091304,0.0451430535206738,-0.112833557623906
,253,-1.72584656044528,-0.0191412380697081,-0.819151904398312,-0.929547236009917,-0.953338968797379,0.929386430737551
,254,-0.346682795369344,0.513135701871723,-0.445783853967943,0.133560644368501,0.0451430535206738,0.67942759596142
,255,-1.99160071379229,-0.553279855144097,-1.6491998224803,-0.667827977599105,-0.970738471285251,-2.30238016287053
