Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Case ID;Attitude Toward Local Brand (STLB);Consumer Ethnocentrism (CET);Gov. Buy Local Campaign Effectiveness (PBLCE);Local Fashion Brand Love (LFBL);Perceived Price Fairness (PPF);Perceived Product Quality (PPQ);;;;;;;;;;;;;
143;0,416;-0,364;0,750;-0,313;-0,040;-0,085;;;;;;;;;;;;;
144;0,666;1,591;0,413;0,751;1,518;1,006;;;;;;;;;;;;;
145;0,666;0,921;0,704;-0,178;1,518;1,207;;;;;;;;;;;;;
146;0,634;-1,649;0,765;-0,935;-1,598;-2,672;;;;;;;;;;;;;
147;0,943;-0,636;0,942;0,933;-0,313;0,934;;;;;;;;;;;;;
148;0,704;1,012;0,750;1,262;0,916;0,731;;;;;;;;;;;;;
149;0,160;0,306;0,432;0,479;-0,040;0,960;;;;;;;;;;;;;
150;0,634;0,578;0,413;0,151;0,232;0,967;;;;;;;;;;;;;
151;0,938;-1,649;0,413;1,262;-1,598;0,435;;;;;;;;;;;;;
152;0,672;0,751;0,704;0,933;1,189;0,934;;;;;;;;;;;;;
153;0,503;-1,034;0,719;0,665;-0,040;0,190;;;;;;;;;;;;;
154;0,687;1,316;-0,029;-0,118;1,238;1,492;;;;;;;;;;;;;
155;0,938;-0,979;0,685;-0,066;-1,598;-1,662;;;;;;;;;;;;;
156;0,172;1,421;0,462;-0,118;1,189;-0,085;;;;;;;;;;;;;
157;0,720;-0,629;0,110;-0,412;-0,394;-0,085;;;;;;;;;;;;;
158;1,188;0,884;0,413;-1,190;0,562;0,960;;;;;;;;;;;;;
159;0,406;1,591;0,062;-0,118;1,518;0,197;;;;;;;;;;;;;
160;0,486;0,476;1,052;0,968;0,909;-0,085;;;;;;;;;;;;;
161;-0,590;-0,629;-0,751;1,236;-0,394;0,440;;;;;;;;;;;;;
162;1,422;0,921;1,037;-0,693;1,518;1,207;;;;;;;;;;;;;
163;-0,280;-0,979;0,413;-0,334;-1,598;0,927;;;;;;;;;;;;;
164;0,394;-0,364;0,704;0,717;-0,040;0,925;;;;;;;;;;;;;
165;-0,063;0,921;1,294;0,129;1,518;-1,097;;;;;;;;;;;;;
166;0,917;0,921;0,110;0,151;1,518;0,440;;;;;;;;;;;;;
167;1,422;1,319;1,294;-0,118;1,245;0,440;;;;;;;;;;;;;
168;-0,063;-0,364;-0,176;-0,118;-0,040;1,209;;;;;;;;;;;;;
169;0,694;-0,168;0,443;1,262;-0,692;0,651;;;;;;;;;;;;;
170;-0,063;0,175;-0,176;1,262;0,594;-1,380;;;;;;;;;;;;;
171;0,634;-0,904;0,704;0,176;-0,674;-2,674;;;;;;;;;;;;;
172;1,422;-1,649;-0,176;-0,178;-1,598;0,643;;;;;;;;;;;;;
173;0,725;1,316;0,413;1,262;1,238;1,249;;;;;;;;;;;;;
174;0,177;0,345;0,066;0,151;0,923;-0,822;;;;;;;;;;;;;
175;0,160;1,012;0,417;1,262;0,916;0,197;;;;;;;;;;;;;
176;-0,063;-0,092;-0,176;0,773;0,232;-0,612;;;;;;;;;;;;;
177;0,656;-1,375;0,443;-0,118;-1,319;0,677;;;;;;;;;;;;;
178;-0,078;1,591;1,294;0,614;1,518;0,715;;;;;;;;;;;;;
179;-0,280;0,655;-0,176;-0,118;1,164;0,447;;;;;;;;;;;;;
180;1,422;-0,979;1,294;-0,096;-1,598;0,927;;;;;;;;;;;;;
181;-0,014;0,041;0,084;-0,096;-0,394;0,475;;;;;;;;;;;;;
182;-0,063;-0,364;-0,176;0,176;-0,040;-1,380;;;;;;;;;;;;;
183;-2,298;-1,034;-1,295;-0,118;-0,040;-0,085;;;;;;;;;;;;;
184;-0,738;1,591;-1,327;-0,983;1,518;0,689;;;;;;;;;;;;;
185;1,422;-0,714;1,294;-1,765;-1,244;0,192;;;;;;;;;;;;;
186;-1,248;-0,191;0,795;-1,817;0,916;-0,085;;;;;;;;;;;;;
187;0,401;1,591;0,810;-1,497;1,518;-0,087;;;;;;;;;;;;;
188;0,389;0,306;0,719;-1,497;-0,040;0,158;;;;;;;;;;;;;
189;1,422;-0,240;-0,661;0,994;-0,592;-1,629;;;;;;;;;;;;;
190;0,694;1,012;0,700;0,990;0,916;1,492;;;;;;;;;;;;;
191;1,422;0,306;0,810;0,423;-0,040;0,158;;;;;;;;;;;;;
192;-0,280;0,211;-0,176;-0,658;0,555;-0,853;;;;;;;;;;;;;
193;0,123;0,747;0,190;0,176;0,561;0,974;;;;;;;;;;;;;
194;-0,063;0,921;-2,414;-0,926;1,518;-0,052;;;;;;;;;;;;;
195;-0,999;-0,364;-0,751;-1,229;-0,040;-0,361;;;;;;;;;;;;;
196;-0,063;-0,534;-1,794;1,262;-0,369;-1,662;;;;;;;;;;;;;
197;0,066;1,287;1,052;0,406;1,195;0,689;;;;;;;;;;;;;
